Date,Time,Stanford Entrance,Ohlone College Entrance,Total
12/16/13 0:00,9:00:00,0,0,0
12/16/13 0:00,10:00:00,22,2,24
12/16/13 0:00,11:00:00,1,0,1
12/16/13 0:00,12:00:00,66,30,96
12/16/13 0:00,13:00:00,57,1,58
12/16/13 0:00,14:00:00,53,5,58
12/16/13 0:00,15:00:00,66,1,67
12/16/13 0:00,16:00:00,48,6,54
12/16/13 0:00,17:00:00,51,0,51
12/16/13 0:00,18:00:00,29,2,31
12/16/13 0:00,19:00:00,6,0,6
12/16/13 0:00,20:00:00,12,0,12
12/16/13 0:00,21:00:00,6,0,6
12/16/13 0:00,22:00:00,3,0,3
12/16/13 0:00,23:00:00,0,1,1
12/17/13 0:00,0:00:00,0,0,0
12/17/13 0:00,1:00:00,0,1,1
12/17/13 0:00,2:00:00,0,0,0
12/17/13 0:00,3:00:00,1,0,1
12/17/13 0:00,4:00:00,3,1,4
12/17/13 0:00,5:00:00,19,0,19
12/17/13 0:00,6:00:00,37,2,39
12/17/13 0:00,7:00:00,32,6,38
12/17/13 0:00,8:00:00,58,3,61
12/17/13 0:00,9:00:00,74,1,75
12/17/13 0:00,10:00:00,52,0,52
12/17/13 0:00,11:00:00,36,46,82
12/17/13 0:00,12:00:00,51,2,53
12/17/13 0:00,13:00:00,56,3,59
12/17/13 0:00,14:00:00,44,12,56
12/17/13 0:00,15:00:00,61,29,90
12/17/13 0:00,16:00:00,52,81,133
12/17/13 0:00,17:00:00,55,39,94
12/17/13 0:00,18:00:00,19,88,107
12/17/13 0:00,19:00:00,24,14,38
12/17/13 0:00,20:00:00,15,22,37
12/17/13 0:00,21:00:00,8,41,49
12/17/13 0:00,22:00:00,8,18,26
12/17/13 0:00,23:00:00,1,2,3
12/18/13 0:00,0:00:00,1,0,1
12/18/13 0:00,1:00:00,0,29,29
12/18/13 0:00,2:00:00,0,15,15
12/18/13 0:00,3:00:00,3,0,3
12/18/13 0:00,4:00:00,5,1,6
12/18/13 0:00,5:00:00,13,18,31
12/18/13 0:00,6:00:00,30,112,142
12/18/13 0:00,7:00:00,36,17,53
12/18/13 0:00,8:00:00,54,9,63
12/18/13 0:00,9:00:00,92,15,107
12/18/13 0:00,10:00:00,71,22,93
12/18/13 0:00,11:00:00,72,8,80
12/18/13 0:00,12:00:00,60,12,72
12/18/13 0:00,13:00:00,51,11,62
12/18/13 0:00,14:00:00,37,1,38
12/18/13 0:00,15:00:00,55,2,57
12/18/13 0:00,16:00:00,57,3,60
12/18/13 0:00,17:00:00,54,0,54
12/18/13 0:00,18:00:00,35,0,35
12/18/13 0:00,19:00:00,22,0,22
12/18/13 0:00,20:00:00,14,0,14
12/18/13 0:00,21:00:00,8,0,8
12/18/13 0:00,22:00:00,5,0,5
12/18/13 0:00,23:00:00,0,0,0
12/19/13 0:00,0:00:00,0,0,0
12/19/13 0:00,1:00:00,0,0,0
12/19/13 0:00,2:00:00,0,0,0
12/19/13 0:00,3:00:00,0,0,0
12/19/13 0:00,4:00:00,4,2,6
12/19/13 0:00,5:00:00,26,3,29
12/19/13 0:00,6:00:00,17,0,17
12/19/13 0:00,7:00:00,44,7,51
12/19/13 0:00,8:00:00,59,2,61
12/19/13 0:00,9:00:00,55,7,62
12/19/13 0:00,10:00:00,92,4,96
12/19/13 0:00,11:00:00,56,3,59
12/19/13 0:00,12:00:00,35,2,37
12/19/13 0:00,13:00:00,52,1,53
12/19/13 0:00,14:00:00,56,2,58
12/19/13 0:00,15:00:00,76,3,79
12/19/13 0:00,16:00:00,60,3,63
12/19/13 0:00,17:00:00,37,1,38
12/19/13 0:00,18:00:00,26,0,26
12/19/13 0:00,19:00:00,11,2,13
12/19/13 0:00,20:00:00,11,1,12
12/19/13 0:00,21:00:00,3,1,4
12/19/13 0:00,22:00:00,1,0,1
12/19/13 0:00,23:00:00,4,0,4
12/20/13 0:00,0:00:00,2,2,4
12/20/13 0:00,1:00:00,0,0,0
12/20/13 0:00,2:00:00,2,0,2
12/20/13 0:00,3:00:00,0,0,0
12/20/13 0:00,4:00:00,7,1,8
12/20/13 0:00,5:00:00,18,1,19
12/20/13 0:00,6:00:00,34,1,35
12/20/13 0:00,7:00:00,54,2,56
12/20/13 0:00,8:00:00,61,4,65
12/20/13 0:00,9:00:00,92,6,98
12/20/13 0:00,10:00:00,67,4,71
12/20/13 0:00,11:00:00,68,4,72
12/20/13 0:00,12:00:00,60,10,70
12/20/13 0:00,13:00:00,44,1,45
12/20/13 0:00,14:00:00,60,3,63
12/20/13 0:00,15:00:00,70,5,75
12/20/13 0:00,16:00:00,57,11,68
12/20/13 0:00,17:00:00,50,17,67
12/20/13 0:00,18:00:00,29,5,34
12/20/13 0:00,19:00:00,7,3,10
12/20/13 0:00,20:00:00,4,0,4
12/20/13 0:00,21:00:00,4,0,4
12/20/13 0:00,22:00:00,5,0,5
12/20/13 0:00,23:00:00,2,0,2
12/21/13 0:00,0:00:00,0,0,0
